,index,Lat,Lon,Temp
0,0,-2.9,-60.56,298.962
1,1,-2.5,-55.0,301.068
2,2,-2.9,-60.56,298.873
3,3,-2.5,-55.0,301.44598
4,4,-2.9,-60.56,298.932
5,5,-2.5,-55.0,301.46298
6,6,-2.9,-60.56,298.965
7,7,-2.5,-55.0,301.53598
8,8,-2.9,-60.56,299.70398
9,9,-2.5,-55.0,301.44
10,10,-2.9,-60.56,299.789
11,11,-2.5,-55.0,301.948
12,12,-2.9,-60.56,299.725
13,13,-2.5,-55.0,302.789
14,14,-2.9,-60.56,300.19098
15,15,-2.5,-55.0,302.861
16,16,-2.9,-60.56,299.596
17,17,-2.5,-55.0,301.93298
18,18,-2.9,-60.56,300.719
19,19,-2.5,-55.0,302.26898
20,20,-2.9,-60.56,300.51498
21,21,-2.5,-55.0,301.38498
22,22,-2.9,-60.56,300.497
23,23,-2.5,-55.0,301.66998
24,24,-2.9,-60.56,300.27798
25,25,-2.5,-55.0,302.257
26,26,-2.9,-60.56,300.96298
27,27,-2.5,-55.0,301.749
28,28,-2.9,-60.56,299.255
29,29,-2.5,-55.0,300.862
30,30,-2.9,-60.56,299.529
31,31,-2.5,-55.0,301.067
32,32,-2.9,-60.56,299.5
33,33,-2.5,-55.0,300.72598
34,34,-2.9,-60.56,299.64798
35,35,-2.5,-55.0,301.03198
36,36,-2.9,-60.56,299.57098
37,37,-2.5,-55.0,300.702
38,38,-2.9,-60.56,299.159
39,39,-2.5,-55.0,300.539
40,40,-2.9,-60.56,299.166
41,41,-2.5,-55.0,301.171
42,42,-2.9,-60.56,299.07
43,43,-2.5,-55.0,301.248
44,44,-2.9,-60.56,299.14398
45,45,-2.5,-55.0,301.434
46,46,-2.9,-60.56,298.901
47,47,-2.5,-55.0,301.434
48,48,-2.9,-60.56,297.909
49,49,-2.5,-55.0,301.4
50,50,-2.9,-60.56,297.947
51,51,-2.5,-55.0,300.983
52,52,-2.9,-60.56,298.423
53,53,-2.5,-55.0,300.143
54,54,-2.9,-60.56,298.451
55,55,-2.5,-55.0,300.53598
56,56,-2.9,-60.56,298.63
57,57,-2.5,-55.0,301.418
58,58,-2.9,-60.56,298.589
59,59,-2.5,-55.0,301.479
60,60,-2.9,-60.56,298.61398
61,61,-2.5,-55.0,301.242
62,0,-2.9,-60.56,298.59
63,1,-2.5,-55.0,300.891
64,2,-2.9,-60.56,300.626
65,3,-2.5,-55.0,300.811
66,4,-2.9,-60.56,300.733
67,5,-2.5,-55.0,300.867
68,6,-2.9,-60.56,300.638
69,7,-2.5,-55.0,300.724
70,8,-2.9,-60.56,300.375
71,9,-2.5,-55.0,300.802
72,10,-2.9,-60.56,300.013
73,11,-2.5,-55.0,301.137
74,12,-2.9,-60.56,299.613
75,13,-2.5,-55.0,301.087
76,14,-2.9,-60.56,299.732
77,15,-2.5,-55.0,301.07
78,16,-2.9,-60.56,299.625
79,17,-2.5,-55.0,300.904
80,18,-2.9,-60.56,298.513
81,19,-2.5,-55.0,300.358
82,20,-2.9,-60.56,299.07898
83,21,-2.5,-55.0,300.172
84,22,-2.9,-60.56,298.285
85,23,-2.5,-55.0,300.263
86,24,-2.9,-60.56,297.76898
87,25,-2.5,-55.0,300.487
88,26,-2.9,-60.56,299.237
89,27,-2.5,-55.0,299.843
90,28,-2.9,-60.56,299.24698
91,29,-2.5,-55.0,300.723
92,30,-2.9,-60.56,299.044
93,31,-2.5,-55.0,301.761
94,32,-2.9,-60.56,299.143
95,33,-2.5,-55.0,301.714
96,34,-2.9,-60.56,299.142
97,35,-2.5,-55.0,301.49
98,36,-2.9,-60.56,299.267
99,37,-2.5,-55.0,301.72
100,38,-2.9,-60.56,299.40298
101,39,-2.5,-55.0,301.996
102,40,-2.9,-60.56,299.576
103,41,-2.5,-55.0,302.113
104,42,-2.9,-60.56,299.77298
105,43,-2.5,-55.0,301.893
106,44,-2.9,-60.56,300.052
107,45,-2.5,-55.0,302.408
108,46,-2.9,-60.56,300.92398
109,47,-2.5,-55.0,302.255
110,48,-2.9,-60.56,300.865
111,49,-2.5,-55.0,300.142
112,50,-2.9,-60.56,299.38998
113,51,-2.5,-55.0,300.87698
114,52,-2.9,-60.56,299.119
115,53,-2.5,-55.0,300.762
116,54,-2.9,-60.56,298.904
117,55,-2.5,-55.0,301.214
118,0,-2.9,-60.56,299.313
119,1,-2.5,-55.0,301.268
120,2,-2.9,-60.56,299.069
121,3,-2.5,-55.0,301.249
122,4,-2.9,-60.56,299.06598
123,5,-2.5,-55.0,301.298
124,6,-2.9,-60.56,298.82098
125,7,-2.5,-55.0,301.327
126,8,-2.9,-60.56,298.97
127,9,-2.5,-55.0,300.997
128,10,-2.9,-60.56,298.939
129,11,-2.5,-55.0,300.767
130,12,-2.9,-60.56,298.917
131,13,-2.5,-55.0,300.807
132,14,-2.9,-60.56,298.76898
133,15,-2.5,-55.0,300.779
134,16,-2.9,-60.56,298.65698
135,17,-2.5,-55.0,300.3
136,18,-2.9,-60.56,298.81
137,19,-2.5,-55.0,300.32498
138,20,-2.9,-60.56,298.755
139,21,-2.5,-55.0,300.40298
140,22,-2.9,-60.56,298.431
141,23,-2.5,-55.0,300.468
142,24,-2.9,-60.56,298.755
